Банк,01.01.2014,01.04.2014,01.07.2014,01.10.2014,01.01.2015,01.04.2015,01.07.2015,01.10.2015,01.01.2016,01.04.2016,01.07.2016,01.10.2016
IHГ БАНК УКРАЇНА,3798440.62999,2369152.61014,2087430.52556,1771558.34319,2461914.66986,4610811.81358,2353442.46793,3165314.29995,3638848.6919,3399678.85798,3860643.12017,3262252.36734
IМЕКСБАНК,6348817.53242,6878987.43486,6586479.69836,6286976.93589,6307436.97795,6825520.73554,NA,NA,NA,NA,NA,NA
IНВЕСТБАНК,258893.34849,287173.61583,277195.42453,264021.67956,276641.08862,322506.23924,320840.66445,230212.39922,233802.97568,238036.16799,179774.67132,159526.56177
IНДУСТРІАЛБАНК,1345075.23961,1381939.31903,1474071.89244,1485416.86796,1536772.57431,1840013.73863,1715643.46978,1653533.05424,1780850.63664,1777048.04671,1760853.20907,1793771.86678
IНТЕГРАЛ - БАНК,610988.0268,716095.34875,676025.89827,622755.19901,709696.14523,794004.071,518686.41961,527671.34632,NA,NA,NA,NA
IНТЕРБАНК,186769.85658,234180.16966,251396.70429,NA,NA,NA,NA,NA,NA,NA,NA,NA
АВАНТ-БАНК,1364728.37293,1358691.47748,1566967.7012,1863095.4457,2296461.02542,2469286.9559,2379096.11584,2538904.43202,NA,NA,NA,NA
АВТОКРАЗБАНК,1014098.75649,939931.74342,847379.70497,NA,NA,NA,NA,NA,NA,NA,NA,NA
АЙБОКС БАНК,312259.17149,300069.93759,298732.41222,330577.05281,356208.4717,408159.24583,317246.73579,339027.64834,225474.31897,220825.5126,266134.31156,290618.64625
АКОРДБАНК,363224.5653,313819.89956,297958.40102,298583.79171,317900.82122,300741.31037,250601.14504,196488.19343,202797.95418,177085.06014,203841.39862,284814.05286
АКСІОМА,618255.13848,674973.02951,631451.19758,188884.66463,155773.72501,NA,NA,NA,NA,NA,NA,NA
АКТАБАНК ,4079668.6672,4648329.52658,3885798.75876,854265.3694,NA,NA,NA,NA,NA,NA,NA,NA
АКТИВ - БАНК,2374406.62797,2363780.77428,2393703.87086,2475618.71078,NA,NA,NA,NA,NA,NA,NA,NA
АКЦЕНТ-БАНК,1869978.76686,1597024.66589,1756264.33843,1799533.99084,1895621.74072,2076951.31548,2025813.32448,2220982.0398,2662186.795,3182374.71848,3530231.08503,3038239.47915
АЛЬПАРІ БАНК,3686.61315,7431.50583,17431.22801,9108.20158,6623.3006,8818.10738,7707.70421,5683.40896,4714.06109,8080.40012,11671.71242,8089.27925
АЛЬФА-БАНК,15831175.56015,18136828.24695,16846183.49888,15549446.02214,18060829.60377,20943200.91574,20946386.6663,23107764.97828,25244245.67356,25519957.37797,26118008.37656,27112061.66878
АП БАНК,NA,NA,NA,NA,NA,NA,NA,NA,7415.7061,144300.83434,118560.60759,164990.42135
АПЕКС-БАНК,350704.05638,286333.22252,263630.54355,463192.91167,511749.04944,461286.76486,508429.67348,432013.97188,414459.15369,342306.28304,267000.88899,203022.93309
АРКАДА,1384802.73098,1551606.65458,1653195.87078,1607580.58809,1769523.52129,1837387.49951,1866027.21356,2215850.07905,2608916.86082,1635951.13325,1408811.66998,976547.43985
АРТЕМ-БАНК,178425.83632,195075.73175,222116.65799,215163.60291,255808.34667,300243.00156,343129.03549,329100.42061,291393.44888,296762.10033,331176.47255,380866.10441
АСВІО БАНК,267773.24674,301791.07312,285611.65186,256179.66812,289960.65494,357610.58406,473830.55457,479485.79986,618476.29833,663540.35024,705212.77171,618780.45901
АСТРА БАНК,207117.82131,8130.31563,4809.38745,3344.23399,3188.42035,4329.91024,4559.98163,3836.96206,NA,NA,NA,NA
БАНК 3/4,1112021.79583,400561.34845,659296.69948,557840.6596,362005.15026,298870.08016,336472.8306,286167.54823,273617.34004,308985.4637,300380.71739,323105.98247
БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,3260643.27001,3221552.49368,3300419.95258,3218622.8016,3643106.65593,3208693.42308,3433261.34678,1306348.0988,NA,NA,NA,NA
БАНК АВАНГАРД,251233.65863,39758.86879,120478.41916,111314.85197,192272.20225,341713.25969,375692.73312,106568.85126,274847.45744,369347.26391,419429.47695,929717.33475
БАНК АЛЬЯНС,31014.62847,346942.01618,409899.67199,162403.11515,247717.72996,19965.09817,8911.2318,1753.92,10861.24366,31460.76363,17752.38635,53326.11676
БАНК БОГУСЛАВ,275181.01719,257990.20748,255169.55684,247590.09201,267189.25085,303496.46618,347788.40969,343281.25567,418758.16229,393296.59112,376369.44325,475889.42666
БАНК ВЕЛЕС,16406.90797,26705.43885,27874.51148,48882.04835,45953.94429,47089.04067,72554.92449,85080.82582,NA,NA,NA,NA
БАНК ВОСТОК,2375587.87043,2308794.28841,2379165.08393,2883841.6147,3105446.00267,3646123.87596,3912729.9321,4213089.29419,4489950.28486,4858794.66302,5229515.06697,5241720.10838
БАНК ГРАНТ,560447.08248,649632.2037,692216.97354,745192.29645,792649.50525,763121.54617,691212.02419,681901.14164,789879.35638,730334.57624,721567.33191,649900.75944
БАНК ДЕМАРК,1230680.11241,1253809.82223,1243512.18606,1119616.66338,908178.81853,NA,NA,NA,NA,NA,NA,NA
БАНК ЗОЛОТІ ВОРОТА,1381120.04855,1310265.97269,693993.96873,696672.6962,NA,NA,NA,NA,NA,NA,NA,NA
БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,1723035.74103,1832227.87071,2350652.18189,2523920.12426,3183229.30509,4197588.11651,4036371.78016,4026384.35158,4466818.16889,4581409.04225,3651922.55396,3526275.07715
БАНК КАМБІО,1698195.29733,1655014.67862,1706545.68575,676365.58494,770252.55783,NA,NA,NA,NA,NA,NA,NA
БАНК КИЇВСЬКА РУСЬ ,6225835.77106,6287399.54041,6143211.59757,5954949.8241,6339601.30546,5312275.60973,4584043.49221,NA,NA,NA,NA,NA
БАНК КІПРУ,828032.53407,735015.27917,830385.8389,NA,NA,NA,NA,NA,NA,NA,NA,NA
БАНК КОНТРАКТ,516143.12907,546784.97725,637219.32762,618507.70246,552523.85777,642066.6585,532143.42288,400035.22821,NA,NA,NA,NA
БАНК КРЕДИТ ДНІПРО,4903529.62071,4686658.41491,5558646.37182,5446989.49508,5771205.54746,6445449.03324,5526787.61861,5787691.0621,6211031.57716,6567158.14497,6176557.81293,6662679.58095
БАНК МЕРКУРІЙ,1486534.3912,1441141.05367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
БАНК МИХАЙЛІВСЬКИЙ,176821.84418,330813.6131,697416.15445,1294147.10991,1617510.33811,1710221.22479,1850678.1603,1958440.11927,2043226.11311,2141405.18739,NA,NA
БАНК МОРСЬКИЙ,652480.75712,626598.06385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
БАНК НАРОДНИЙ КАПІТАЛ,103798.622,107127.25495,104963.74452,124387.58092,117700.86915,127305.35808,124613.51978,130359.77485,128285.60328,230949.24012,129330.45527,79967.62324
БАНК НАЦІОНАЛЬНИЙ КРЕДИТ,1716726.28798,1846048.81382,2029298.80808,2015973.37403,2021162.40565,2352560.02481,1295672.19521,NA,NA,NA,NA,NA
БАНК ПЕРШИЙ,1999169.48478,1164867.9462,1090620.56542,NA,NA,NA,NA,NA,NA,NA,NA,NA
БАНК ПЕТРОКОММЕРЦ-УКРАЇНА,577911.10073,645260.82121,534278.61778,515485.41884,538151.43909,634890.76751,709852.18821,584658.66529,NA,NA,NA,NA
БАНК ПОРТАЛ,2756.22304,4669.70624,6765.61558,5306.64751,19885.29114,13938.91688,19616.47319,18313.04007,25648.53723,40871.64763,51923.54955,42504.18529
БАНК РЕНЕСАНС КАПІТАЛ,126537.79582,127113.7437,770354.92955,1333979.25413,1284565.35043,NA,NA,NA,NA,NA,NA,NA
БАНК РИНКОВІ ТЕХНОЛОГІЇ,146266.5676,43730.16727,7158.63497,17180.95386,NA,NA,NA,NA,NA,NA,NA,NA
БАНК СІЧ,292331.87606,328478.97103,393972.40233,408251.70492,475418.85134,512847.21107,496740.05102,550666.6637,1436929.85873,729454.664,1202652.37306,779443.71618
БАНК СОФІЙСЬКИЙ,329444.75506,364580.17677,410360.36291,460986.78274,583159.04456,581378.3022,558599.38068,518107.74817,NA,NA,NA,NA
БАНК ТРАСТ,250420.28683,244780.1944,250683.64099,244533.68686,249776.75295,230797.51516,231757.43991,299730.0536,517101.06864,567426.06144,628860.34108,592705.12292
БАНК УКРАЇНСЬКИЙ КАПІТАЛ,134179.08417,194738.08205,308895.58914,197943.84227,247676.24806,312227.32344,255370.73841,349396.95919,428054.09654,682594.06595,392822.53635,462435.51733
БАНК ФАМІЛЬНИЙ,30019.07186,23426.9156,25133.46804,25006.89318,32890.46293,37568.28136,40599.11232,38774.67345,50086.79719,50817.08437,48441.90085,61996.71737
БАНК ФІНАНСИ ТА КРЕДИТ,16342444.80156,17856983.80166,18989900.09421,19804537.61079,22040922.15983,26948067.40286,24643819.76605,21082316.6004,NA,NA,NA,NA
БАНК ФОРВАРД,1834800.71298,1335144.1366,1235640.99625,1109639.59977,1023949.79322,945735.45129,800921.91166,755979.46571,768455.69271,853198.62291,894177.07989,1000697.35023
БАНК ФОРУМ,7361118.81371,7525092.73872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
БАНК ЮНІСОН,345340.0697,313418.39539,229774.97354,253309.08762,258199.8587,226674.85855,282738.94586,358923.90968,512072.89093,398365.0034,143134.50693,114743.38198
БГ БАНК,NA,NA,NA,1146827.8324,1227347.87562,NA,NA,NA,NA,NA,NA,NA
БМ БАНК,1671585.98943,1567458.06419,1572109.51138,1273134.58104,1259890.16866,1044287.23158,845252.18109,791288.77085,791160.62589,862830.58463,951332.92844,929263.28061
БРОКБІЗНЕСБАНК,10863986.42747,10026354.28593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
БТА БАНК  ,1354041.87222,1146021.69249,937352.29438,910434.31488,681584.97841,790635.17376,645544.69741,628977.7046,628041.63431,513805.16675,440395.46595,558574.67042
ВIEЙБI БАНК,12578951.64261,15696906.49203,14402058.69061,14008830.29496,10979783.08583,NA,NA,NA,NA,NA,NA,NA
ВЕКТОР БАНК,NA,506.86381,27653.71296,42746.0875,62199.24188,52191.56582,40123.64443,44717.7516,23498.77423,42201.80913,54838.46777,83657.82687
ВЕРНУМ БАНК,191700.19453,252279.26915,176415.58266,168418.25681,206927.95131,263464.76218,270115.45939,243636.46867,197133.8428,156545.02716,132229.57959,144396.36217
ВІЕС БАНК,1052743.29371,865826.19613,848682.20295,785389.46584,766951.37502,772319.12721,707525.5539,750600.59662,1008195.02274,889732.27512,954910.19137,942484.09632
ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ,4741869.98254,4398850.59806,4536973.37779,4343318.72962,4697204.50281,6277442.77115,5783100.76112,5899920.23736,NA,NA,NA,NA
ВТБ БАНК,11147866.23179,9302175.06477,8233677.55952,6709468.09399,7900170.6657,9081789.22651,8662829.55197,8648808.20732,9540048.94439,9503774.98319,8227407.93223,9291801.20447
ГЕФЕСТ,0,0,0,0,0,0.72828,1.41616,11.96252,1,2.21057,2.45493,2.45493
ГЛОБУС,727112.7367,765397.25503,759106.08018,704181.16048,715907.99325,818470.78255,705051.76516,657466.27742,714536.34739,732874.85454,874380.00193,1012506.97468
ГРІН БАНК,372945.86406,138227.30697,88755.41793,130792.04196,129507.64613,NA,NA,NA,NA,NA,NA,NA
ДАНІЕЛЬ,585023.06995,376889.17321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ДЕЛЬТА БАНК,36126457.76219,37167638.10034,35747456.65386,36665131.11641,35627853.80834,40829053.27975,35998818.10214,NA,NA,NA,NA,NA
ДЕРЖЗЕМБАНК,19674.78138,993.6106,17.0204,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,NA
ДІАМАНТБАНК,2948938.28969,2819989.34025,3231249.59613,3210674.43833,3415247.07686,4121741.39273,4353016.84841,4271931.10332,4999588.76951,4868622.59727,3973962.22101,4248350.97637
ДІВІ БАНК,4604609.44594,3116732.30936,2511836.44416,1586062.89962,286887.00522,90825.85103,79810.92385,172356.83721,102841.17678,31513.44831,38989.41834,19151.77517
ДОЙЧЕ БАНК ДБУ,1617349.66267,274027.66564,193396.7,275570.41285,403700.4368,607828.79433,924600.1865,1062185.00268,1227581.63954,1339213.01463,2806455.88027,1714252.21815
ЕКСПОБАНК,1240031.58699,1317188.74271,1305438.71188,1141700.72275,2419199.25332,NA,NA,NA,NA,NA,NA,NA
ЕКСПРЕС-БАНК,1615223.5044,1546932.80975,1232856.94123,1131214.36721,1074393.24584,954725.78771,1032836.32467,935198.1346,828079.75823,650277.45765,673430.81024,655935.52885
ЕНЕРГОБАНК,1546662.32409,1542141.32502,1532127.80317,1539401.82113,1583835.43374,1873001.9996,NA,NA,NA,NA,NA,NA
ЄВРОБАНК,1017818.42027,1216464.35674,1411454.14185,1203477.83189,1167235.16205,1253844.41508,1063805.43104,1333905.45061,1557185.41787,1458652.65576,782244.44406,NA
ЄВРОГАЗБАНК ,2074835.56835,2187597.34415,1920138.56374,1876167.09349,NA,NA,NA,NA,NA,NA,NA,NA
ЄВРОПРОМБАНК,650071.1486,696145.47534,697269.69611,721500.32632,726909.37117,904150.52362,832780.66721,855509.31225,841322.29945,845260.96992,745095.82162,725539.04333
ЗАХІДІНКОМБАНК,540934.46984,514776.23036,406966.94987,NA,NA,NA,NA,NA,NA,NA,NA,NA
ЗЕМЕЛЬНИЙ КАПІТАЛ,136156.73969,134137.06343,125531.02515,81995.57232,105033.58225,73344.20755,72219.29387,77586.18051,NA,NA,NA,NA
ЗЛАТОБАНК,5394434.84212,5169784.24632,5237924.40206,5272445.46796,5405812.96615,5032515.1399,NA,NA,NA,NA,NA,NA
ІДЕЯ БАНК,1969438.77643,1806543.3163,2124350.57232,1995819.0605,2091165.87912,2143297.44428,2124089.65751,2164303.17475,2325656.00349,2157074.5601,2360756.85352,2465318.83423
ІНВЕСТИЦІЙНО-ТРАСТОВИЙ БАНК,60072.39541,61699.85563,60645.34183,60655.23297,61232.45844,60759.60973,60992.76356,69.18691,619.54836,2.22621,NA,NA
ІНТЕРКРЕДИТБАНК,292225.2326,328292.98001,315280.95588,156382.99279,NA,NA,NA,NA,NA,NA,NA,NA
КАПІТАЛ,987308.69761,822866.31668,805324.38476,953143.71074,1331803.92309,1395126.00289,1117189.12146,704415.61358,NA,NA,NA,NA
КИЇВ,427493.52108,446374.39444,439662.75006,434804.59087,468997.41922,546979.0424,NA,NA,NA,NA,NA,NA
КЛАСИКБАНК,705654.81485,136292.31442,139167.07854,138435.0953,753660.17194,18132.44899,16167.82913,24869.73906,79655.08757,23884.72284,18006.97028,NA
КЛІРИНГОВИЙ ДІМ,3043201.56099,2640869.43735,2730664.81098,2781669.79962,3900674.77605,4502340.89132,3118650.0908,2371993.53434,2083883.44993,2358824.36842,2127343.5049,2064075.10113
КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,76251.7273,19412.66433,21387.08514,18127.68125,18060.40266,18889.40026,59043.70794,103979.13329,121115.83867,131287.50196,119291.09656,109584.41949
КОМІНВЕСТБАНК,525979.83928,557678.55397,629564.06596,664356.66692,709013.46985,888728.25031,888235.20218,826855.61635,901982.2433,931588.60218,923990.53775,962097.74049
КОНКОРД,27111.80294,55908.10377,55099.84052,59244.47606,99827.91483,121425.10706,141030.10096,149345.76866,119698.42074,160979.23345,140049.13753,172663.35715
КРЕДOБАНК,2782277.38291,2807043.31891,3305561.21798,3500866.619,3471376.9537,4190341.79239,4444487.0747,4683143.98614,5654336.90688,6041477.94131,6504252.33656,7110489.9035
